from,to,from_id,to_id,outflow 17-24,outflow 24-may1,above normal_0,outflow 17-24,outflow 24-may1,above normal_5,outflow 17-24,outflow 24-may1,above normal_10,outflow 17-24,outflow 24-may1,above normal_15,outflow 17-24,outflow 24-may1,above normal_20
Baglung,Bhaktapur,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baglung,Bhojpur,2,10,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
Baglung,Chitawan,2,11,261,412,151,261,412,151,261,412,151,261,412,151,261,412,151
Baglung,Dadeldhura,2,12,5,3,-2,5,3,-2,5,3,-2,5,3,-2,5,3,-2
Baglung,Dailekh,2,13,8,22,14,8,22,14,8,22,14,8,22,14,8,22,14
Baglung,Dang,2,14,54,109,55,54,109,55,54,109,55,54,109,55,54,109,55
Baglung,Darchula,2,15,2,5,3,2,5,3,2,5,3,2,5,3,2,5,3
Baglung,Dhading,2,16,32,66,34,32,66,34,32,66,34,32,66,34,32,66,34
Baglung,Dhankuta,2,17,3,10,7,3,10,7,3,10,7,3,10,7,3,10,7
Baglung,Dhanusha,2,18,17,27,10,17,27,10,17,27,10,17,27,10,17,27,10
Baglung,Dolakha,2,19,5,3,-2,5,3,-2,5,3,-2,5,3,-2,5,3,-2
Baglung,Dolpa,2,20,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3
Baglung,Doti,2,21,6,4,-2,6,4,-2,6,4,-2,6,4,-2,6,4,-2
Baglung,Gorkha,2,22,61,135,74,61,135,74,61,135,74,61,135,74,61,135,74
Baglung,Gulmi,2,23,1377,1838,461,1321,1778,457,904,1226,322,698,930,232,603,814,211
Baglung,Humla,2,24,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
Baglung,Ilam,2,25,14,15,1,14,15,1,14,15,1,14,15,1,14,15,1
Baglung,Jajarkot,2,26,3,4,1,3,4,1,3,4,1,3,4,1,3,4,1
Baglung,Jhapa,2,27,40,55,15,40,55,15,40,55,15,40,55,15,40,55,15
Baglung,Jumla,2,28,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
Baglung,Kabhrepalanchok,2,29,14,40,26,14,40,26,14,40,26,14,40,26,14,40,26
Baglung,Kailali,2,30,30,39,9,30,39,9,30,39,9,30,39,9,30,39,9
Baglung,Kalikot,2,31,1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,0,-1
Baglung,Kanchanpur,2,32,22,30,8,22,30,8,22,30,8,22,30,8,22,30,8
Baglung,Kapilbastu,2,33,112,209,97,112,209,97,112,209,97,112,209,97,112,209,97
Baglung,Kaski,2,34,1151,1435,284,1151,1435,284,1151,1435,284,1135,1422,287,1109,1395,286
Baglung,Kathmandu,2,35,997,877,-120,997,877,-120,997,877,-120,997,877,-120,997,877,-120
Baglung,Khotang,2,36,10,7,-3,10,7,-3,10,7,-3,10,7,-3,10,7,-3
Baglung,Lalitpur,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baglung,Lamjung,2,38,22,33,11,22,33,11,22,33,11,22,33,11,22,33,11
Baglung,Mahottari,2,39,6,13,7,6,13,7,6,13,7,6,13,7,6,13,7
Baglung,Makawanpur,2,40,38,61,23,38,61,23,38,61,23,38,61,23,38,61,23
Baglung,Manang,2,41,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
Baglung,Morang,2,42,28,54,26,28,54,26,28,54,26,28,54,26,28,54,26
Baglung,Mugu,2,43,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
Baglung,Mustang,2,44,19,27,8,19,27,8,19,27,8,19,27,8,19,27,8
Baglung,Myagdi,2,45,506,814,308,472,776,304,224,395,171,149,259,110,86,161,75
Baglung,Nawalparasi,2,46,351,564,213,351,564,213,351,564,213,351,564,213,351,564,213
Baglung,Nuwakot,2,47,13,17,4,13,17,4,13,17,4,13,17,4,13,17,4
Baglung,Okhaldhunga,2,48,3,1,-2,3,1,-2,3,1,-2,3,1,-2,3,1,-2
Baglung,Palpa,2,49,71,124,53,71,124,53,71,124,53,71,124,53,71,124,53
Baglung,Panchthar,2,50,7,10,3,7,10,3,7,10,3,7,10,3,7,10,3
Baglung,Parbat,2,51,2170,3106,936,2016,2904,888,1192,1789,597,476,712,236,121,203,82
Baglung,Parsa,2,52,113,146,33,113,146,33,113,146,33,113,146,33,113,146,33
Baglung,Pyuthan,2,53,14,25,11,14,25,11,14,25,11,14,25,11,14,22,8
Baglung,Ramechhap,2,54,3,5,2,3,5,2,3,5,2,3,5,2,3,5,2
Baglung,Rasuwa,2,55,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0
Baglung,Rautahat,2,56,32,48,16,32,48,16,32,48,16,32,48,16,32,48,16
Baglung,Rolpa,2,57,10,30,20,10,30,20,10,30,20,10,30,20,10,30,20
Baglung,Rukum,2,58,8,20,12,8,20,12,8,20,12,8,20,12,8,20,12
Baglung,Rupandehi,2,59,762,1312,550,762,1312,550,762,1312,550,762,1312,550,762,1312,550
